id,Rn,SD,CV,RnLog,uRnLog,rn_spring,rn_summer,rn_autumn,rn_winter,rn_sd_spring,rn_sd_summer,rn_sd_autumn,rn_sd_winter,Structure,YearOfConstruction,FloorInstalled,TypeOfRoom,SizeTatami,PuroposeOfUse,Location,Region,Pref,Area,lat,long,year,stru,type,purp,regi,pref,floo,tata
1,67.93500647,8.567582318,12.61143961,1.832093621,0.102029546,24.88396004,30.71830853,132.1435268,83.99423054,2.121653632,3.434463673,14.36738383,8.419928383,木造,1988,2,和室,12,寝室,北海道札幌市中央区,東日本,北海道,札幌市中央区,43.0552782,141.3409902,1975-1989,wooden,Japanese,Bedroom,Eastern Japan,Hokkaido,2,large
2,182.6152296,23.69358422,12.97459378,2.261536994,0.103670366,40.21412497,59.76679124,378.4992919,251.9807102,4.741973456,5.344346384,39.19622024,25.65446749,コンクリート,1990,2,洋室,4.5,寝室,北海道札幌市西区,東日本,北海道,札幌市西区,43.0745506,141.3009833,1990+,concrete,Western,Bedroom,Eastern Japan,Hokkaido,2,small
3,34.53101096,4.374019661,12.66693195,1.538209293,0.103451466,38.83752133,11.12783373,18.7868582,69.37183059,3.783297673,0.964898408,2.230851628,7.503807219,木造,1982,1,洋室,6,寝室,北海道小樽市,東日本,北海道,小樽市,43.1906806,140.9946021,1975-1989,wooden,Western,Bedroom,Eastern Japan,Hokkaido,1,medium
4,177.3535595,18.13823714,10.22716273,2.248839909,0.098982266,211.1398114,126.1719897,331.6064403,40.49599664,23.45731859,14.04374577,23.51696947,3.932193029,コンクリート,1988,3,和室,6,居間,北海道小樽市,東日本,北海道,小樽市,43.1906806,140.9946021,1975-1989,concrete,Japanese,Living Room,Eastern Japan,Hokkaido,3,medium
5,58.43618292,7.389087164,12.64471222,1.76668184,0.100815979,41.79930662,53.28441693,33.95570597,104.7053022,3.571107269,4.605221377,3.417403587,13.14362652,コンクリート,1991,2,洋室,10,居間,北海道岩内郡共和町,東日本,北海道,岩内郡共和町,42.9804237,140.6114734,1990+,concrete,Western,Living Room,Eastern Japan,Hokkaido,2,large
6,100.0912895,9.407907427,9.399326829,2.000396284,0.09287834,26.2569003,56.12000425,170.9891542,146.9990992,3.035641029,5.164010106,13.0341595,12.1763483,木造,1987,1,洋室,15,居間,北海道岩内郡岩内町,東日本,北海道,岩内郡岩内町,42.9797765,140.5147577,1975-1989,wooden,Western,Living Room,Eastern Japan,Hokkaido,1,very large
7,91.68743401,14.80390736,16.14605919,1.962309819,0.09754492,31.83987836,12.3740012,292.6763273,29.85952917,3.118984142,1.243601747,29.29001051,2.728253972,木造,1985,2,洋室,6,寝室,北海道苫小牧市,東日本,北海道,苫小牧市,42.6389087,141.6116456,1975-1989,wooden,Western,Bedroom,Eastern Japan,Hokkaido,2,medium
8,63.859518,7.370848889,11.54228707,1.805225636,0.102600988,82.51541589,20.41587785,73.7964561,78.71032217,8.943034016,1.751312029,7.737556958,8.625712404,コンクリート,1969,2,和室,6,寝室,北海道苫小牧市,東日本,北海道,苫小牧市,42.6389087,141.6116456,1960-1974,concrete,Japanese,Bedroom,Eastern Japan,Hokkaido,2,medium
9,69.39827199,9.900998176,14.26692321,1.841348657,0.104530126,49.74664146,2.993283979,182.6405979,42.21256462,4.800842827,0.326357306,18.63922833,4.64151115,木造,1986,1,洋室,9,居間,北海道浦河郡浦河町,東日本,北海道,浦河郡浦河町,42.1700529,142.857328,1975-1989,wooden,Western,Living Room,Eastern Japan,Hokkaido,1,medium
10,60.06790694,6.427477036,10.70035126,1.778642499,0.101686719,41.31608116,56.95692616,66.19969882,75.79892161,3.892921926,5.325012709,6.867737625,8.635590462,コンクリート,1988,2,洋室,10,居間,北海道浦河郡浦河町,東日本,北海道,浦河郡浦河町,42.1700529,142.857328,1975-1989,concrete,Western,Living Room,Eastern Japan,Hokkaido,2,large
