County,Place,TestLocationInHome,NoOfHomesTested,AverageRadon_pCiL,GEOMean,GEOSD,HighestRadon,NoOfHomesBelow4pCiL,NoOfHomesRange4To20pCiL,NoOfHomesAbove20pCiL
ALBANY,ALBANY,Basement,644,1.9,1.22,2.49,53.8,582,60,2
ALBANY,ALBANY,1st Floor,209,1.02,0.46,3.09,24.8,199,9,1
ALBANY,BERNE,Basement,60,11.66,3.05,3.29,273.6,38,19,3
ALBANY,BERNE,1st Floor,83,1.66,0.85,3.41,18.2,76,7,0
ALBANY,BETHLEHEM,Basement,534,2.43,1.54,2.46,41.1,466,62,6
ALBANY,BETHLEHEM,1st Floor,109,1.31,0.88,2.58,12.1,108,1,0
ALBANY,COEYMANS,Basement,72,6.05,3.6,2.86,36.6,41,27,4
ALBANY,COEYMANS,1st Floor,28,2.55,1.11,3.67,21.4,23,4,1
ALBANY,COHOES,Basement,188,3.17,1.79,2.95,36.8,146,39,3
ALBANY,COHOES,1st Floor,128,1.25,0.6,3.28,18.6,119,9,0
ALBANY,COLONIE,Basement,556,3.57,1.84,3.05,57.9,434,111,11
ALBANY,COLONIE,1st Floor,211,1.61,0.74,3.09,27.5,198,10,3
ALBANY,GREEN ISLAND,Basement,7,6.94,4.52,2.92,18.9,3,4,0
ALBANY,GREEN ISLAND,1st Floor,3,0.97,0.78,2.16,1.9,3,0,0
ALBANY,GUILDERLAND,Basement,382,5.55,2.19,3.23,147.1,288,74,20
ALBANY,GUILDERLAND,1st Floor,558,1.2,0.45,3.39,34.9,529,24,5
ALBANY,KNOX,Basement,18,3.94,2.31,2.97,18,13,5,0
ALBANY,KNOX,1st Floor,5,1.16,0.71,3.02,3.4,5,0,0
ALBANY,NEW SCOTLAND,Basement,431,16.73,4.9,4.7,394.6,181,175,75
ALBANY,NEW SCOTLAND,1st Floor,203,6.37,2.17,4.51,89.8,134,56,13
ALBANY,RENSSELAERVILLE,Basement,24,2.81,1.94,2.74,8.3,18,6,0
ALBANY,RENSSELAERVILLE,1st Floor,13,1.87,1.11,2.95,6.8,11,2,0
ALBANY,WATERVLIET,Basement,106,3.65,2.35,2.76,25.5,75,30,1
ALBANY,WATERVLIET,1st Floor,90,1.46,0.76,2.94,15.6,83,7,0
ALBANY,WESTERLO,Basement,31,3.83,2.26,3.27,20.1,19,11,1
ALBANY,WESTERLO,1st Floor,12,2.89,1.43,2.93,18.9,11,1,0
ALLEGANY,ALFRED,Basement,38,3.98,2.19,3.23,26.4,27,10,1
ALLEGANY,ALFRED,1st Floor,12,0.64,0.44,2.64,1.9,12,0,0
ALLEGANY,ALLEN,Basement,1,8.5,8.5,1,8.5,0,1,0
ALLEGANY,ALMA,Basement,6,6.98,1.88,7.05,30,4,1,1
ALLEGANY,ALMA,1st Floor,3,4.2,2.87,3.25,8.2,2,1,0
ALLEGANY,ALMOND,Basement,19,7.49,4.84,2.65,25.7,9,9,1
ALLEGANY,ALMOND,1st Floor,8,2.31,1.28,3.61,5.1,5,3,0
ALLEGANY,AMITY,Basement,34,13.88,6.86,4.62,45.2,9,16,9
ALLEGANY,AMITY,1st Floor,23,4.07,2.18,3.27,17.3,16,7,0
ALLEGANY,ANDOVER,Basement,43,11.51,5.82,3.74,40.4,16,16,11
ALLEGANY,ANDOVER,1st Floor,9,9.16,3.86,5.98,29.8,4,3,2
ALLEGANY,ANGELICA,Basement,5,17.52,12.48,2.76,40.1,1,3,1
ALLEGANY,ANGELICA,1st Floor,7,4.74,1.85,4.29,22,5,1,1
ALLEGANY,BELFAST,Basement,15,11.18,3.78,3.21,117.2,7,7,1
ALLEGANY,BELFAST,1st Floor,10,1.98,1.37,2.35,7.5,9,1,0
ALLEGANY,BOLIVAR,Basement,28,7.74,3.97,3.81,27.4,13,12,3
ALLEGANY,BOLIVAR,1st Floor,16,6.78,1.84,4.35,56.7,12,2,2
ALLEGANY,BURNS,Basement,19,28.81,6.32,6.03,216.6,8,6,5
ALLEGANY,BURNS,1st Floor,6,1.38,0.82,3.02,4.3,5,1,0
ALLEGANY,CANEADEA,Basement,24,3.75,2.12,3.08,16.6,18,6,0
ALLEGANY,CANEADEA,1st Floor,12,1.98,1.35,2.87,6.6,11,1,0
ALLEGANY,CENTERVILLE,Basement,3,5.27,4.58,1.87,9.4,2,1,0
ALLEGANY,CENTERVILLE,1st Floor,3,4.6,2.88,3.54,10,2,1,0
ALLEGANY,CLARKSVILLE,Basement,6,5.58,3.5,3.29,10.8,3,3,0
ALLEGANY,CLARKSVILLE,1st Floor,1,7.5,7.5,1,7.5,0,1,0
ALLEGANY,CUBA,Basement,45,12.48,6.03,3.43,81.1,16,21,8
ALLEGANY,CUBA,1st Floor,25,4.3,2.23,3.31,29.4,16,8,1
ALLEGANY,FRIENDSHIP,Basement,10,17.97,9.6,3.44,65.8,2,5,3
ALLEGANY,FRIENDSHIP,1st Floor,6,5.97,3.55,3.56,17.6,3,3,0
ALLEGANY,GENESEE,Basement,5,5.18,3.57,2.86,10.9,2,3,0
ALLEGANY,GENESEE,1st Floor,3,3.13,1.21,5.65,8.4,2,1,0
ALLEGANY,GRANGER,Basement,2,1.3,1.24,1.57,1.7,2,0,0
ALLEGANY,GRANGER,1st Floor,2,0.4,0.26,3.96,0.7,2,0,0
ALLEGANY,GROVE,Basement,2,1.75,0.98,5.33,3.2,2,0,0
ALLEGANY,HUME,Basement,39,8.32,5.12,2.86,42.6,15,21,3
