"id","radon_level_bqm3","county","floor","measurement_date"
1,167.111027134517,"County A","Ground",2020-10-15
2,182.53115558517,"County B","First",2021-01-10
3,123.951525225598,"County A","Second",2021-12-02
4,137.816363074136,"County C","Ground",2021-07-06
5,133.396113214175,"County B","Ground",2021-01-03
6,262.643371040895,"County B","First",2020-07-12
7,-8.3215722105233,"County D","First",2021-07-10
8,168.912016924443,"County D","First",2020-06-19
9,136.369858362362,"County D","Ground",2020-05-24
10,140.328374293816,"County C","First",2020-08-12
11,205.150186754293,"County B","Ground",2021-03-23
12,136.444653218504,"County B","Ground",2020-03-18
13,150.80545211043,"County D","Ground",2021-12-24
14,165.078486565643,"County A","First",2020-11-03
15,132.731050198485,"County B","First",2021-02-16
16,228.362566247081,"County B",NA,2021-12-31
17,92.8616155111531,"County C","Ground",2020-08-02
18,230.451719193825,"County B","First",2021-09-02
19,135.936324444833,"County A","First",2020-06-22
20,204.28478587398,"County C","Ground",2020-09-25
21,70.0329035597012,"County B","Ground",2020-10-28
22,188.243224857138,"County C","First",2020-08-24
23,185.057250599075,"County C","First",2021-02-14
24,99.1513211375966,"County B","Second",2021-02-28
25,119.267044860415,"County D","First",2020-10-28
26,157.740993818809,"County D","First",2020-12-11
27,195.75341715188,"County A","Ground",2021-02-17
28,119.360027838853,"County C","Ground",2021-04-11
29,141.034960037868,"County C","Ground",2021-05-30
30,212.853877399093,"N/A","Ground",2020-04-29
31,104.90611036594,"County C","Ground",2020-11-24
32,187.911759228674,"County D",NA,2021-09-12
33,167.950727569396,"County D","Ground",2021-01-11
34,105.767418857747,"County A","Second",2021-10-06
35,123.285286313049,"County D","Ground",2021-03-14
36,181.331100412088,"County B","Ground",2020-08-20
37,NA,"County C","Ground",2020-02-29
38,207.003931098699,"County D","Second",2021-08-31
39,125.928641516337,"County D","First",2021-12-08
40,81.4204921448209,"County A","Ground",2021-09-22
41,191.913077059131,"County C","First",2021-04-02
42,125.655135262635,"County B","Ground",2020-01-04
43,154.813621072902,"County C","First",2021-03-10
44,218.761672554072,"County A","Second",2021-09-28
45,139.983437907552,"County B",NA,2020-11-22
46,211.982213095879,"County C","First",2020-03-22
47,106.114414002702,"N/A","First",2020-04-22
48,3792.34765842557,"County B","First",2021-12-07
49,159.87196847484,"County C",NA,2020-11-27
50,120.529138425942,"County A",NA,2020-02-19
51,-8.75980117951985,"County C","Ground",2021-09-16
52,153.06574654378,"County C","Ground",2021-05-24
53,160.206590498163,"County B",NA,2020-08-15
54,161.097872681387,"County D","Ground",2020-06-24
55,171.474240889262,"County B","Second",2020-04-08
56,131.580577360932,"County C","Second",2021-06-30
57,129.535851112417,"County B","Ground",2021-11-30
58,159.477515165105,"County B","Second",2020-10-11
59,128.336433135132,"County D","First",2020-07-03
60,198.769105881723,"County D","Ground",2020-05-17
61,156.965435004246,"County A","Ground",2021-01-01
62,125.389267356141,"County D","First",2020-07-04
63,77.7242814365869,"County A","Second",2020-08-17
64,124.252755764158,"County A","Ground",2020-11-22
65,231.840754085313,"County D","Ground",2021-10-06
66,127.569503154757,"County C",NA,2020-12-01
67,116.560027765886,"County D","First",2020-11-03
68,176.117900111114,"County D","First",2020-04-05
69,167.651724993717,"County B","Ground",2021-10-12
70,180.065162263651,"County C","Ground",2020-03-24
71,138.880996593787,"County A","Ground",2020-11-24
72,194.906168650387,"County B","First",2021-07-13
73,103.09564559208,"County D",NA,2021-05-30
74,148.044929281054,"County C","First",2021-10-06
75,121.834386511282,"County D","Second",2021-11-22
76,NA,"County B","Ground",2021-10-15
77,155.200270456085,"County C","Second",2021-02-27
78,194.388323270805,"County B","Ground",2020-01-14
79,232.340034759254,"County B","First",2021-01-14
80,155.626221268999,"County A","Ground",2020-05-15
81,128.615333912065,"County C","Second",2021-05-26
82,117.059330939252,"County A",NA,2021-11-19
83,139.478640710774,"County B","Second",2020-03-11
84,147.215926545585,"County B","Ground",2021-12-13
